Hostname;VRF_Name;Route-Distinguisher
BEL1NA;CDNBD-VPN;7303:1413
BEL1NA;dcn-gestion;7303:1204
BEL1NA;vpn-edge-anevia;7303:2594
BEL1NA;vpn-personal-s1;7303:1341
BEL1NA;vpn-personal-S1MME;7303:1728
BEL1NA;vpn-personal-gomran;7303:1729
BEL1NA;vpn-personal-iub-3G;7303:2282
BEL1NA;vpn-personal-abis-2G;7303:2283
BEL1NA;vpn-servicio-iris-hub;102:01:00
CDI4MU;bna-vpn;7303:149
CDI4MU;ypf-vpn;7303:302
CDI4MU;afip-vpn;7303:324
CDI4MU;casa-vpn;7303:1373
CDI4MU;eana-vpn;7303:2683
CDI4MU;hsbc-vpn;7303:279
CDI4MU;osde-vpn;7303:563
CDI4MU;pami-vpn;7303:1185
CDI4MU;toip-vpn;7303:1004
CDI4MU;upcn-vpn;7303:352
CDI4MU;vpn-gpba;7303:26:00
CDI4MU;anses-vpn;7303:128
CDI4MU;clama-vpn;7303:459
CDI4MU;iafas-vpn;7303:564
CDI4MU;sepsa-vpn;7303:256
CDI4MU;vpn-bisel;7303:67
CDI4MU;vpn-disco;7303:55:00
CDI4MU;vpn-prima;7303:23:00
CDI4MU;bonesi-vpn;7303:73
CDI4MU;correo-vpn;7303:707
CDI4MU;diaarg-vpn;7303:594
CDI4MU;galeno-vpn;7303:250
CDI4MU;ituran-vpn;7303:546
CDI4MU;maxima-vpn;7303:507
CDI4MU;nbersa-vpn;7303:1109
CDI4MU;simons-vpn;7303:1219
CDI4MU;solido-vpn;7303:479
CDI4MU;vpn-gire-1;7303:81
CDI4MU;vpn-iapser;7303:681
CDI4MU;vpn-jockey;7303:46:00
CDI4MU;ampjbon-vpn;7303:1262
CDI4MU;conmega-vpn;7303:121
CDI4MU;dcn-gestion;7303:1204
CDI4MU;fravega-vpn;7303:1059
CDI4MU;munisam-vpn;7303:90
CDI4MU;ospecom-vpn;7303:103
CDI4MU;tasario-vpn;15186:65000
CDI4MU;vpn-advance;7303:42:00
CDI4MU;vpn-wpatron;7303:129
CDI4MU;citibank-vpn;7303:509
CDI4MU;corrersa-vpn;7303:1419
CDI4MU;dilfersa-vpn;7303:1198
CDI4MU;schejter-vpn;7303:1400
CDI4MU;vpn-amsancor;7303:523
CDI4MU;vpn-williner;7303:157
CDI4MU;asmuprofa-vpn;7303:1017
CDI4MU;garbarino-vpn;7303:182
CDI4MU;hipodromo-vpn;7303:162
CDI4MU;iptv-dhcp-vpn;7303:2986
CDI4MU;preparana-vpn;7303:5008
CDI4MU;tasabapro-vpn;10834:97015
CDI4MU;vpn-credicoop;7303:78
CDI4MU;alpargatas-vpn;7303:601
CDI4MU;arcosdora2-vpn;7303:1154
CDI4MU;bcogalicia-vpn;7303:347
CDI4MU;kellerhoff-vpn;7303:1164
CDI4MU;vpn-lavirginia;7303:568
CDI4MU;vpn-vestiditos;7303:127
CDI4MU;argentconec-vpn;7303:1226
CDI4MU;bancolumbia-vpn;7303:2803
CDI4MU;cjuleriaque-vpn;7303:980
CDI4MU;firstdatart-vpn;7303:1428
CDI4MU;hipodromo-3-vpn;7303:433
CDI4MU;ncentralarg-vpn;7303:249
CDI4MU;prenavalarg-vpn;7303:1433
CDI4MU;vpn-energiaersa;7303:161
CDI4MU;vpn-personal-s1;7303:1341
CDI4MU;wifioffload-vpn;7303:1312
CDI4MU;unigestopems-vpn;7303:1471
CDI4MU;vpn-ges-sspopusa;7303:21:00
CDI4MU;vpn-gestion-adsl;200:01:00
CDI4MU;vpn-ngn-nacional;7303:58:00
CDI4MU;vpn-tdata-bcorio;200:12:00
