Hostname;Modelo;Version;Vendor
IC1.HOR1;NE9000;8.180;Huawei
IC1.SLO1;NE9000;8.180;Huawei
1LA1MU;ATN950B;5.160;Huawei
COG3MU;CX600-X8A;8.150;Huawei
ARU1MU;CX600-X2-M8;8.150;Huawei
LCR2MU;CX600-X2-M8;8.150;Huawei
TEP1MU;CX600-X2-M8;8.150;Huawei
PNR1MU;CX600-X2-M8;8.150;Huawei
CYU1MU;CX600-X2-M8;8.150;Huawei
PIF1MU;CX600-X2-M8;8.150;Huawei
TER1MU;CX600-X2-M8;8.150;Huawei
CHU2MU;CX600-X8;5.170;Huawei
SVC3MU;CX600-X8A;8.150;Huawei
CTE3MU;CX600-X16;8.190;Huawei
FOR3MU;CX600-X16;8.190;Huawei
ACD4MU;CX600-X16A;8.150;Huawei
BGN4MU;CX600-X8;5.170;Huawei
SRT3MU;CX600-X8A;8.150;Huawei
ARG4MU;CX600-X8A;8.150;Huawei
TIR3MU;CX600-X8;8.190;Huawei
SNI4MU;CX600-X16A;8.150;Huawei
MET2MU;CX600-X8;8.190;Huawei
URQ3MU;CX600-X8A;8.150;Huawei
SFR3MU;CX600-X16A;8.150;Huawei
SAM3MU;CX600-X16A;8.150;Huawei
ERU2MU;CX600-X8;8.190;Huawei
STI2MU;CX600-X8;8.190;Huawei
BAL4MU;CX600-X16A;8.150;Huawei
CAS4MU;CX600-X16A;8.150;Huawei
SBM2MU;CX600-X8;8.190;Huawei
AES2MU;CX600-X8;8.190;Huawei
COS3MU;CX600-X16;8.190;Huawei
RSC5MU;CX600-X16A;8.150;Huawei
MUS4MU;CX600-X16A;8.150;Huawei
IRD5MU;CX600-X16A;8.150;Huawei
RES6MU;CX600-X16A;8.150;Huawei
CEN4MU;CX600-X16;5.170;Huawei
BEL5MU;CX600-X16;8.190;Huawei
BUA3MU;CX600-X16;8.190;Huawei
KEN2MU;CX600-X8;8.190;Huawei
TAR2MU;CX600-X8;8.190;Huawei
CEN5MU;CX600-X16;8.190;Huawei
PAR3MU;CX600-X16;8.190;Huawei
MEZ5MU;CX600-X16A;8.190;Huawei
POS3MU;CX600-X16;8.190;Huawei
REC3MU;CX600-X8;8.190;Huawei
ALG3MU;CX600-X8;8.190;Huawei
JRD2MU;CX600-X8;8.190;Huawei
GLF5MU;CX600-X16A;8.190;Huawei
GAR2MU;CX600-X8;8.190;Huawei
CHI2MU;CX600-X8;8.190;Huawei
CDU4MU;CX600-X16A;8.150;Huawei
CCP2MU;CX600-X8;8.190;Huawei
SSJ4MU;CX600-X16A;8.150;Huawei
RUF2MU;CX600-X8;5.170;Huawei
SAI2MU;CX600-X8;8.190;Huawei
LTH2MU;CX600-X8;8.190;Huawei
PKL3MU;CX600-X8;8.190;Huawei
VIC2MU;CX600-X8;8.190;Huawei
HIP3MU;CX600-X8;8.190;Huawei
AGU3MU;CX600-X8;8.190;Huawei
SDE4MU;CX600-X8A;8.150;Huawei
ELP2MU;CX600-X8;8.190;Huawei
RET5MU;CX600-X16A;8.150;Huawei
