Hostname;VRF_Name;Route-Distinguisher;
1LA1MU;vpn-ges-sspopusa;7303:21:00;
1LA1MU;vpn-ngn-nacional;7303:58:00;
COG3MU;3dargfor-vpn;7303:1586;
COG3MU;IMPRESO2372-VPN;7303:2372;
COG3MU;ORGANIZ2425-VPN;7303:2425;
COG3MU;PURUSS-2613-VPN;7303:2613;
COG3MU;TASARIO-VPN;15186:65000;
COG3MU;VPN-TECNOACCION1;7303:169;
COG3MU;aca-vpn;7303:119;
COG3MU;afip-vpn;7303:324;
COG3MU;alatlogistica-vpn;7303:506;
COG3MU;alimentosylogistica-vpn;7303:278;
COG3MU;alpargatas-vpn;7303:601;
COG3MU;arcore-vpn;7303:739;
COG3MU;arcosdora2-vpn;7303:1154;
COG3MU;argentconec-vpn;7303:1226;
COG3MU;asmuprofa-vpn;7303:1017;
COG3MU;asofutbolar-vpn;7303:1244;
COG3MU;assaind-vpn;7303:885;
COG3MU;bancindazul-vpn;7303:1268;
COG3MU;banelco-vpn;7303:1303;
COG3MU;bapropago-vpn;7303:1571;
COG3MU;basgall-vpn;7303:5021;
COG3MU;bcogalicia-vpn;7303:347;
COG3MU;bcopatagonia-vpn;7303:297;
COG3MU;bcosantafe-vpn;7303:219;
COG3MU;bigbloom-vpn;7303:653;
COG3MU;bna-vpn;7303:149;
COG3MU;bombasfal-vpn;7303:2593;
COG3MU;bonesi-vpn;7303:73;
COG3MU;boston-vpn;7303:120;
COG3MU;bronze-prueba-ing;7303:325;
COG3MU;cajapopuaho-vpn;7303:977;
COG3MU;cajapopuaho2-vpn;7303:641;
COG3MU;camsenasfe-vpn;7303:1075;
COG3MU;carsa;7303:49:00;
COG3MU;causersa-vpn;7303:1032;
COG3MU;cencosud-vpn;7303:235;
COG3MU;citibank-vpn;7303:509;
COG3MU;cjuleriaque-vpn;7303:980;
COG3MU;clama-vpn;7303:459;
COG3MU;cnc-vpn;7303:530;
COG3MU;conarcoalambres-vpn;7303:262;
COG3MU;correo-vpn;7303:707;
COG3MU;coto-vpn;7303:236;
COG3MU;coto1-vpn;7303:1457;
COG3MU;cotovideo-vpn;7303:2948;
COG3MU;credicoop2-vpn;7303:269;
COG3MU;cycsa-vpn;7303:2516;
COG3MU;darclibertador-vpn;7303:147;
COG3MU;dcn-gestion;7303:1204;
COG3MU;desab-vpn;7303:834;
COG3MU;diaarg-vpn;7303:594;
COG3MU;dilfersa-vpn;7303:1198;
