Hostname;Modelo;Version;Vendor
ROA1.RPE1;mx80-t;14.1R8.6;Juniper
ROA1.CHA1;mx80-t;14.1R8.6;Juniper
ROA1.MON1;mx80-t;14.1R8.6;Juniper
ROA1.GGY1;mx80-t;14.1R8.6;Juniper
ROA1.LOR1;mx80-t;14.1R8.6;Juniper
ROA1.LEO1;mx80;14.1R8.6;Juniper
ROA1.SPC1;mx80-t;14.1R8.6;Juniper
ROA1.BAR1;mx80-t;14.1R8.6;Juniper
ROA1.RON1;mx960;18.4R3.3;Juniper
ROA1.JMA1;mx10-t;14.1R8.6;Juniper
ROA1.CAD1;mx10-t;14.1R8.6;Juniper
ROA1.BOL1;mx5-t;14.1R8.6;Juniper
ROA1.LAB1;mx10-t;14.1R8.6;Juniper
ROA1.ACC1;mx10-t;14.1R8.6;Juniper
ROA1.SAA1;mx5-t;14.1R8.6;Juniper
ROA1.DOR1;mx5-t;14.1R8.6;Juniper
ROA1.TER1;mx10-t;14.1R8.6;Juniper
ROA1.NIC1;mx960;14.2R7.5;Juniper
ROA1.GGU1;mx960;18.4R3.3;Juniper
ROA1.AVA1;mx960;14.2R7.5;Juniper
ROA1.BEL1;mx960;14.2R7.5;Juniper
ROA1.PER1;mx960;14.2R7.5;Juniper
ROA1.BER1;mx960;14.2R7.5;Juniper
ROA1.CTB1;mx960;14.2R7.5;Juniper
ROA1.VMA1;mx960;14.2R7.5;Juniper
ROA1.RCU1;mx960;14.2R7.5;Juniper
ROA1.JUL1;mx960;14.2R7.5;Juniper
ROA1.ROC1;mx960;18.4R3.3;Juniper
ROA1.CIP1;mx960;14.2R7.5;Juniper
ROA1.PIL1;mx960;14.2R7.5;Juniper
ROA1.SLO1;mx960;14.2R7.5;Juniper
ROA1.CON1;mx960;14.2R7.5;Juniper
ROA1.CAM1;mx960;14.2R7.5;Juniper
ROM3.HOR1;mx960;16.1R5.7;Juniper
ROM1.STF1;mx960;16.1R5.7;Juniper
ROA1.MPM1;mx960;14.2R7.5;Juniper
ROA1.ITU1;mx960;14.2R7.5;Juniper
ROA1.HAE1;mx960;18.4R3.3;Juniper
ROA1.RET1;mx960;14.2R7.5;Juniper
ROA1.FRA1;mx960;18.4R3.3;Juniper
ROA1.BAL1;mx960;14.2R7.5;Juniper
ROA1.CRS1;mx960;18.4R3.3;Juniper
ROA1.SFE1;mx960;14.2R7.5;Juniper
ROM3.SLO1;mx960;16.1R4-S2.2;Juniper
ROA1.PLA1;mx960;14.2R7.5;Juniper
ROA1.GRO1;mx960;14.2R7.5;Juniper
ROA1.ROH1;mx960;14.2R7.5;Juniper
ROA1.VCR1;mx960;18.4R3.3;Juniper
ROA1.PAL1;mx960;18.4R3.3;Juniper
ROA1.FLO1;mx960;14.2R7.5;Juniper
ROA1.DEV1;mx960;14.2R7.5;Juniper
ROA1.CEN1;mx960;14.2R7.5;Juniper
ROA1.CAR1;mx960;14.2R7.5;Juniper
ROA1.BON1;mx960;14.2R7.5;Juniper
ROA1.ALM1;mx960;18.4R3.3;Juniper
ROA1.LOM1;mx960;18.4R3.3;Juniper
ROA1.PCH1;mx960;14.2R7.5;Juniper
ROA1.HOR1;mx960;14.2R7.5;Juniper
ROA1.BBO1;mx960;14.2R7.5;Juniper
ROA1.CAB1;mx960;18.4R3.3;Juniper
ROA1.VLO1;mx960;14.2R7.5;Juniper
ROA1.NEH1;mx960;14.2R7.5;Juniper
ROA1.STF1;mx960;14.2R7.5;Juniper
ROA1.CBO1;mx960;14.2R7.5;Juniper
ROA1.QUI1;mx960;14.2R7.5;Juniper
ROA1.TAN1;mx960;14.2R7.5;Juniper
ROA1.STA1;mx960;14.2R7.5;Juniper
ROA1.ESP1;mx960;14.2R7.5;Juniper
ROA1.NOR1;mx960;14.2R7.5;Juniper
ROA1.CHC1;mx960;14.2R7.5;Juniper
ROA1.ROS1;mx960;18.4R3.3;Juniper
ROA1.ROO1;mx960;18.4R3.3;Juniper
ROA1.FOR1;mx960;18.4R3.3;Juniper
ROA1.MGR1;mx960;14.2R7.5;Juniper
ROM3.BEL1;mx960;16.1R4-S2.2;Juniper
ROM3.AVA1;mx960;16.1R5.7;Juniper
ROA1.TOR1;mx960;14.2R7.5;Juniper
ROA1.NEU1;mx960;14.2R7.5;Juniper
ROA1.LUJ1;mx960;14.2R7.5;Juniper
ROA1.MPS1;mx960;18.4R3.3;Juniper
ROA1.BCE1;mx960;14.2R7.5;Juniper
ROA1.ARE1;mx960;14.2R7.5;Juniper
ROA1.OLA1;mx960;18.4R3.3;Juniper
ROA1.BZA1;mx960;18.4R3.3;Juniper
ROA1.AZU1;mx960;18.4R3.3;Juniper
ROA1.BVI1;mx960;14.2R7.5;Juniper
ROA1.RES1;mx960;18.4R3.3;Juniper
ROA1.URU1;mx960;18.4R3.3;Juniper
ROA2.HOR1;mx960;18.4R3.3;Juniper
