Hostname;VRF_Name;Route-Distinguisher;;;
ROA1.CHA1;INTER-AS-CLARO-15008;10481:15008;;;
ROA1.CHA1;VRF-CABLE-CMTS-CHA1;10481:10141;;;
ROA1.CHA1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.CHA1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.CHA1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24141;;;
ROA1.CHA1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26141;;;
ROA1.CHA1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28141;;;
ROA1.CHA1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27141;;;
ROA1.CHA1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25141;;;
ROA1.CHA1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.CHA1;VRF-FCORP-GIRO-EXPRESS;7303:200126;;;
ROA1.CHA1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.MON1;VRF-CABLE-CMTS-MON1;10481:10039;;;
ROA1.MON1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.MON1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24004;;;
ROA1.MON1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26004;;;
ROA1.MON1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28004;;;
ROA1.MON1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27004;;;
ROA1.MON1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25004;;;
ROA1.MON1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.MON1;VRF-FCORP-JEFATURA-GABINETESALUD;10481:11389;;;
ROA1.MON1;VRF-MHUB-DCN-MONITOREO-ENERGIA;10481:90107;;;
ROA1.MON1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.GGY1;VRF-CABLE-CMTS-GGY1;10481:10037;;;
ROA1.GGY1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.GGY1;VRF-VIDEO-CANALES-LOCALES-GGU-GGY;10481:20037;;;
ROA1.LOR1;VRF-CABLE-CMTS-LOR1;10481:10094;;;
ROA1.LOR1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.LOR1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.LOR1;VRF-FCORP-AGUAS-SANTAFESINAS;7303:216;;;
ROA1.LOR1;VRF-FCORP-BMR-TECO;7303:1407;;;
ROA1.LOR1;VRF-MHUB-DCN-MONITOREO-ENERGIA;10481:90107;;;
ROA1.LOR1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.LOR1;VRF-VIDEO-VOD-GESTION-APEX;10481:90023;;;
ROA1.LOR1;VRF-VIDEO-VOD-VIDEO-APEX;10481:90021;;;
ROA1.LEO1;VRF-CABLE-CMTS-LEO1;10481:10101;;;
ROA1.LEO1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.LEO1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.LEO1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.SPC1;VRF-CABLE-CMTS-SPC1;10481:10109;;;
ROA1.SPC1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.SPC1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.SPC1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24109;;;
ROA1.SPC1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26109;;;
ROA1.SPC1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28109;;;
ROA1.SPC1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27109;;;
ROA1.SPC1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25109;;;
ROA1.SPC1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.SPC1;VRF-FCORP-BANCO-PATAGONIA-SA;10481:11103;;;
ROA1.SPC1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.BAR1;VRF-CABLE-CMTS-BAR1;10481:10055;;;
ROA1.BAR1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.BAR1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.BAR1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.BAR1;VRF-FCORP-OSDE;10481:11133;;;
ROA1.BAR1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
